r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq - 0 4 | f8b4 d7d5 c6d4 f8c5 g7g6
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq - 1 5 | c3d5 f1g2
r1bqk2r/pppp1ppp/2n2n2/3Np3/1bP5/5NP1/PP1PPP1P/R1BQKB1R b KQkq - 2 5 | b4c5 a7a5 e5e4
r1bqk2r/pppp1ppp/2n2n2/2bNp3/2P5/5NP1/PP1PPP1P/R1BQKB1R w KQkq - 3 6 | f1g2
r1bqk2r/pppp1ppp/2n2n2/2bNp3/2P5/5NP1/PP1PPPBP/R1BQK2R b KQkq - 4 6 | d7d6 e8g8
r1bqk2r/ppp2ppp/2np1n2/2bNp3/2P5/5NP1/PP1PPPBP/R1BQK2R w KQkq - 0 7 | e1g1
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3 | g1f3 b1c3 g2g3
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3 | d7d5 f8b4 b7b6 c7c5 a7a6
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4 | b1c3 g2g3 c1g5 e2e3
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4 | c7c5 f8b4 d5c4 f8e7 c7c6 b8d7 a7a6
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5 | c4d5 e2e3 c1g5
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5 | f6d5 c5d4
rnbqkb1r/pp3ppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6 | e2e4 g2g3
rnbqkb1r/pp3ppp/4p3/2pn4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6 | d5c3
rnbqkb1r/pp3ppp/4p3/2p5/3PP3/2n2N2/PP3PPP/R1BQKB1R w KQkq - 0 7 | b2c3
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/5P2/PP2P1PP/RNBQKBNR w KQkq - 0 4 | e2e4 b1c3
rnbqkb1r/ppp1pp1p/3p1np1/8/2PPP3/5P2/PP4PP/RNBQKBNR b KQkq - 0 4 | f8g7 e7e5
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/5P2/PP4PP/RNBQKBNR w KQkq - 1 5 | g1e2
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/5P2/PP2N1PP/RNBQKB1R b KQkq - 2 5 | e8g8
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/5P2/PP2N1PP/RNBQKB1R w KQ - 3 6 | c1e3
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/4BP2/PP2N1PP/RN1QKB1R b KQ - 4 6 | c7c5
